peak_weight,footprint_weight,global_std_weight,read_frac_type,read_type,rho,pval,read_ct
-1.0,0.2,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,0.3,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,0.4,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,0.5,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,0.6,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,0.7,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,0.8,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,0.9,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,1.0,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,1.1,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,1.2,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,1.3,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,1.4,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,1.5,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,1.6,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,1.7,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,1.8,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,1.9,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,2.0,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-0.9,-2.0,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-1.9,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-1.8,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-1.7,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-1.6,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-1.5,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-1.4,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-1.3,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-1.2,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-1.1,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-1.0,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-0.9,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-0.8,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-0.7,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-0.6,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-0.5,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-0.4,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-0.3,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-0.2,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,-0.1,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,0.0,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,0.1,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,0.2,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,0.3,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,0.4,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,0.5,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,0.6,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,0.7,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,0.8,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,0.9,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,1.0,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,1.1,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,1.2,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,1.3,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,1.4,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,1.5,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,1.6,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,1.7,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,1.8,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,1.9,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.9,2.0,2,defined,unbound,-0.3025415465595789,1.3191403200039407e-43,27236
-0.8,-2.0,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-1.9,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-1.8,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-1.7,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-1.6,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-1.5,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-1.4,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-1.3,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-1.2,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-1.1,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-1.0,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-0.9,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-0.8,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-0.7,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-0.6,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-0.5,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-0.4,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-0.3,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-0.2,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,-0.1,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,0.0,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,0.1,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,0.2,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,0.3,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,0.4,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,0.5,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,0.6,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,0.7,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,0.8,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,0.9,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,1.0,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,1.1,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,1.2,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,1.3,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,1.4,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,1.5,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,1.6,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,1.7,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,1.8,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,1.9,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.8,2.0,2,defined,unbound,-0.3361591300288407,4.984286897983397e-54,39948
-0.7,-2.0,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-1.9,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-1.8,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-1.7,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-1.6,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-1.5,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-1.4,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-1.3,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-1.2,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-1.1,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-1.0,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-0.9,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-0.8,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-0.7,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-0.6,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-0.5,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-0.4,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-0.3,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-0.2,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,-0.1,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,0.0,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,0.1,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,0.2,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,0.3,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,0.4,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,0.5,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,0.6,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,0.7,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,0.8,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,0.9,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,1.0,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,1.1,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,1.2,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,1.3,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,1.4,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,1.5,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,1.6,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,1.7,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,1.8,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,1.9,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.7,2.0,2,defined,unbound,-0.3689548377523472,1.571666749846359e-65,53739
-0.6,-2.0,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-1.9,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-1.8,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-1.7,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-1.6,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-1.5,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-1.4,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-1.3,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-1.2,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-1.1,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-1.0,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-0.9,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-0.8,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-0.7,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-0.6,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-0.5,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-0.4,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-0.3,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-0.2,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,-0.1,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,0.0,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,0.1,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,0.2,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,0.3,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,0.4,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,0.5,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,0.6,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,0.7,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,0.8,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,0.9,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,1.0,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,1.1,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,1.2,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,1.3,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,1.4,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,1.5,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,1.6,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,1.7,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,1.8,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,1.9,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.6,2.0,2,defined,unbound,-0.39336043024464895,5.28241793105714e-75,65817
-0.5,-2.0,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-1.9,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-1.8,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-1.7,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-1.6,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-1.5,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-1.4,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-1.3,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-1.2,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-1.1,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-1.0,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-0.9,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-0.8,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-0.7,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-0.6,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-0.5,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-0.4,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-0.3,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-0.2,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,-0.1,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,0.0,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,0.1,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,0.2,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,0.3,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,0.4,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,0.5,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,0.6,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,0.7,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,0.8,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,0.9,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,1.0,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,1.1,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,1.2,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,1.3,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,1.4,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,1.5,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,1.6,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,1.7,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,1.8,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,1.9,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.5,2.0,2,defined,unbound,-0.4416132673071268,3.046012315500502e-96,80729
-0.4,-2.0,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-1.9,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-1.8,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-1.7,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-1.6,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-1.5,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-1.4,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-1.3,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-1.2,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-1.1,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-1.0,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-0.9,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-0.8,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-0.7,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-0.6,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-0.5,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-0.4,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-0.3,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-0.2,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,-0.1,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,0.0,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,0.1,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,0.2,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,0.3,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,0.4,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,0.5,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,0.6,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,0.7,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,0.8,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,0.9,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,1.0,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,1.1,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,1.2,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,1.3,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,1.4,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,1.5,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,1.6,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,1.7,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,1.8,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,1.9,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.4,2.0,2,defined,unbound,-0.4471217232933935,6.788160517245221e-99,92032
-0.3,-2.0,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-1.9,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-1.8,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-1.7,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-1.6,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-1.5,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-1.4,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-1.3,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-1.2,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-1.1,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-1.0,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-0.9,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-0.8,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-0.7,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-0.6,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-0.5,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-0.4,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-0.3,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-0.2,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,-0.1,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,0.0,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,0.1,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,0.2,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,0.3,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,0.4,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,0.5,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,0.6,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,0.7,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,0.8,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,0.9,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,1.0,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,1.1,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,1.2,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,1.3,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,1.4,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,1.5,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
-0.3,1.6,2,defined,unbound,-0.4582792537465876,2.0332651758578146e-104,103814
